종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","1957","-58","-2.88","1994","2015","1920","274934","537827274","99972644394","51084642"
"095570","AJ네트웍스","KOSPI",,"4420","-55","-1.23","4475","4495","4370","57938","255663225","200017194780","45252759"
"006840","AK홀딩스","KOSPI",,"12940","-60","-0.46","12990","13060","12700","1823","23448020","171423439340","13247561"
"054620","APS","KOSDAQ","중견기업부","5340","-130","-2.38","5600","5630","5210","23867","126316890","106235140140","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","16470","-760","-4.41","17200","17200","16370","275297","4556071000","251685003870","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","10030","-260","-2.53","10240","10350","9980","84245","847679840","151275509120","15082304"
"109960","AP헬스케어","KOSDAQ","중견기업부","625","-31","-4.73","649","660","625","74048","47105314","71345730625","114153169"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3440","-15","-0.43","3445","3470","3420","57626","197704235","329265761040","95716791"
"282330","BGF리테일","KOSPI",,"118200","-2300","-1.91","121000","121000","117600","37420","4446635500","2042957689200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","3800","-5","-0.13","3810","3810","3700","63194","236263010","238514216200","62766899"
"138930","BNK금융지주","KOSPI",,"9930","-20","-0.20","10000","10000","9890","602778","5989480550","3181936699110","320436727"
"001460","BYC","KOSPI",,"33550","-250","-0.74","33850","34050","33350","298","9983350","209558332500","6246150"
"001465","BYC우","KOSPI",,"13400","150","1.13","13250","13410","12950","9304","121076290","28861590000","2153850"
"013720","CBI","KOSDAQ","중견기업부","1161","-1","-0.09","1162","1182","1149","148177","171404872","51813265896","44628136"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2325","-55","-2.31","2380","2380","2255","95788","219474315","178778973150","76894182"
"001040","CJ","KOSPI",,"117000","2400","2.09","114600","117600","112200","93472","10836445700","3413708766000","29176998"
"079160","CJ CGV","KOSPI",,"6730","20","0.30","6760","6880","6540","927089","6268379330","1114351636740","165579738"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","74100","-1900","-2.50","76000","76000","74100","29390","2193591700","1624950311400","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","11850","-200","-1.66","12050","12060","11790","3242","38544840","107983148700","9112502"
"00104K","CJ4우(전환)","KOSPI",,"91500","2600","2.92","88500","91500","85900","16500","1471558700","386725848000","4226512"
"000120","CJ대한통운","KOSPI",,"100800","3400","3.49","97400","102500","97100","229007","23041874400","2299484275200","22812344"
